9,5,"Кодирование и декодирование информации","Производилась #N1канальная (#N2) звукозапись с частотой дискретизации #N3 кГц и #N4-битным разрешением. В результате был получен файл размером #N5 Мбайт, сжатие данных не производилось. Определите приблизительно, сколько времени (в минутах) проводилась запись. В качестве ответа укажите ближайшее к времени записи целое число."
9,6,"Кодирование и декодирование информации","Производится #N1канальная (#N2) звукозапись с частотой дискретизации #N3 кГц и #N4-битным разрешением. Запись длится #N5 минуты, её результаты записываются в файл, сжатие данных не производится. Определите приблизительно размер полученного файла в Мбайт. В качестве ответа укажите ближайшее к размеру файла целое число, кратное 5."
11,1,"Рекурсивные функции с текстовым выводом","Ниже на пяти языках программирования записан рекурсивный алгоритм F. Запишите подряд без пробелов и разделителей все числа, которые будут напечатаны на экране при выполнении вызова F(#N1). Числа должны быть записаны в том же порядке, в котором они выводятся на экран.
Python
def F(n):
 if n > #N2:
  F(n - #N3)
  print(n)
  F(n - #N4)

Паскаль
procedure F(n: integer);
begin
 if n > #N2 then
 begin
  F(n - #N3);
  write(n);
  F(n - #N4)
 end
end;"
11,2,"Рекурсивные функции с текстовым выводом","Ниже на пяти языках программирования записан рекурсивный алгоритм F. Запишите подряд без пробелов и разделителей все числа, которые будут напечатаны на экране при выполнении вызова F(#N1). Числа должны быть записаны в том же порядке, в котором они выводятся на экран.
Python
def F(n):
  if n < #N2:
    F(n + #N3)
    print(n)
    F(2 * n)

Паскаль
procedure F(n: integer);
begin
  if n < #N2 then begin
    F(n + #N3);
    write(n);
    F(2 * n)
  end
end;"
11,3,"Рекурсивные функции с текстовым выводом","Ниже на пяти языках программирования записан рекурсивный алгоритм F. Запишите подряд без пробелов и разделителей все числа, которые будут напечатаны на экране при выполнении вызова F(#N1). Числа должны быть записаны в том же порядке, в котором они выводятся на экран.
Python
def F(n):
    print(n, end='')
    if n >= #N2:
        F(n // 2)
        F(n - #N3)

Паскаль
procedure F(n: integer);
begin
  write(n);
  if n >= #N2 then
  begin
    F(n div 2);
    F(n - #N3)
  end
end;
"
11,3,"Рекурсивные функции с текстовым выводом","Ниже на пяти языках программирования записан рекурсивный алгоритм F. Запишите подряд без пробелов и разделителей все числа, которые будут напечатаны на экране при выполнении вызова F(#N1). Числа должны быть записаны в том же порядке, в котором они выводятся на экран.
Python
def F(n):
    print(n)
    if n >= #N2:
         F(n − #N3)
         print(n)
         F(n − #N4)

Паскаль
procedure F(n: integer);
begin
    write(n);
    if n >= #N2 then begin
        F(n − #N3);
        write(n);
        F(n − #N4);
    end
end;
"
13,1,"Пароли с дополнительными сведениями","При регистрации в компьютерной системе каждому пользователю выдаётся пароль, состоящий из #N1 символов и содержащий только символы из 26-символьного набора прописных латинских букв. В базе данных для хранения сведений о каждом пользователе отведено одинаковое и минимально возможное целое число байт. При этом используют посимвольное кодирование паролей, все символы кодируют одинаковым и минимально возможным количеством бит. Кроме собственно пароля, для каждого пользователя в системе хранятся дополнительные сведения, для чего выделено целое число байт, это число одно и то же для всех пользователей.
Для хранения сведений о #N2 пользователях потребовалось #N3 байт. Сколько байт выделено для хранения дополнительных сведений об одном пользователе? В ответе запишите только целое число – количество байт."
13,2,"Электронные пропуска","Каждый сотрудник предприятия получает электронный пропуск, на котором записаны личный код сотрудника, номер подразделения и некоторая дополнительная информация. Личный код состоит из #N1 символов, каждый из которых может быть русской буквой (используется 30 различных букв, каждая буква может быть заглавной или строчной) или одной из цифр от 0 до 9. Для записи кода на пропуске отведено минимально возможное целое число байт. При этом используют посимвольное кодирование, все символы кодируют одинаковым минимально возможным количеством бит. Номер подразделения – целое число от 1 до #N2, он записан на пропуске как двоичное число и занимает минимально возможное целое число байт. Всего на пропуске хранится #N3 байт данных.
Сколько байт выделено для хранения дополнительных сведений об одном сотруднике?
В ответе запишите только целое число – количество байт."
13,3,"Пароли с дополнительными сведениями","При регистрации в компьютерной системе каждому пользователю выдаётся пароль, состоящий из #N1 символов и содержащий только символы из 8-символьного набора: А, В, C, D, Е, F, G, H. В базе данных для хранения сведений о каждом пользователе отведено одинаковое и минимально возможное целое число байт. При этом используют посимвольное кодирование паролей, все символы кодируют одинаковым и минимально возможным количеством бит. Кроме собственно пароля, для каждого пользователя в системе хранятся дополнительные сведения, для чего отведено #N2 байт на одного пользователя.
Определите объём памяти (в байтах), необходимый для хранения сведений о #N3 пользователях. В ответе запишите только целое число — количество байт."
16,1,"Системы счисления. Прямое сложение", Значение арифметического выражения: #N1^#N2 + #N6^#N3 – #N7^#N4 – записали в системе счисления с основанием #N8. Сколько цифр «#N5» содержится в этой записи?
16,2,"Системы счисления. Прямое сложение",Значение арифметического выражения: #N1^#N2 + #N6^#N3 – #N4 – записали в системе счисления с основанием #N8. Сколько цифр «#N5» содержится в этой записи?
16,3,"Системы счисления. Прямое сложение", "Значение арифметического выражения: #N1^#N4 + #N2^#N5 + #N3^#N6 – записали в системе счисления с основанием #N7. Сколько значащих нулей содержит эта запись?"
